File ID,Hoofdcompetentie,Subcompetentie,Percentage
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Resultaatgerichtheid,9
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Leerbereidheid,33
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Inzet,8
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Persoonlijke gerichtheid,Nauwkeurigheid,41
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Organisatiesensitiviteit,47
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Klantoriëntatie,25
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Kwaliteitsgerichtheid,41
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Organisatiegerichtheid,Ondernemerschap,20
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Overtuigingskracht,20
34b25cea-5d13-521f-a7ee-5ab4d31bb7cf,Beïnvloedend vermogen,Aansturen van groepen,28
